"nome","resumo","coordenador"
"MONITORIA DE FAOC02-11081 - OCEANOGRAFIA FÍSICA III","Em breve este conteúdo estará disponível.","Alessandro Lopes Aguiar "
"POTENCIAL DE GERAÇÃO DE ENERGIA MAREMOTRIZ E ONDOMOTRIZ NA COSTA BRASILEIRA","Em breve este conteúdo estará disponível.","Alessandro Lopes Aguiar "
"ESTUDO DO POTENCIAL DE RENOVAÇÃO DAS ÁGUAS EM UM ESTUÁRIO TROPICAL NO BRASIL","Em breve este conteúdo estará disponível.","Alessandro Lopes Aguiar "
"AVALIAÇÃO QUALI-QUANTITAIVA DE RESÍDUOS SÓLIDOS EM SISTEMAS COSTEIROS DO ESTADO DO RIO DE JANEIRO","Em breve este conteúdo estará disponível.","Claudia Hamacher "
"FORMAÇÃO SOCIAL DE MENTALIDADE MARÍTIMA","Em breve este conteúdo estará disponível.","David Man Wai Zee "
"MONITORIA DAS DISCIPLINAS FUNDAMENTOS DE BIOLOGIA II E III","Em breve este conteúdo estará disponível.","Eduardo Leal Esteves "
"OCORRÊNCIA DE ESPÉCIES INCRUSTANTES MARINHAS EM PLÁSTICOS NAS PRAIAS DE NITERÓI RJ BRASIL.","Em breve este conteúdo estará disponível.","Fábio Vieira De Araujo "
"ESTRUTURAÇÃO DE SAÍDAS DE CAMPO INTEGRADAS COMO FERRAMENTA DE ENSINO EM OCEANOGRAFIA BIOLÓGICA","Em breve este conteúdo estará disponível.","Filipe De Oliveira Chaves "
"DINÂMICA COSTEIRA E MORFOLOGIA PRAIAL: OBSERVAÇÕES E MODELAGEM EM PRAIAS DA CIDADE DO RIO DE JANEIRO","Em breve este conteúdo estará disponível.","Josefa Varela Guerra "
"SENTINELAS DO MAR FLUMINENSE","Em breve este conteúdo estará disponível.","Leticia Cotrim Da Cunha "
"O ENSINO DE METEOROLOGIA E CLIMATOLOGIA NO ÂMBITO DA FAOC E DA UERJ","Em breve este conteúdo estará disponível.","Lucio Silva De Souza "
"APOIO AS ENTIDADES PESQUEIRAS DO ESTADO DO RIO DE JANEIRO","Em breve este conteúdo estará disponível.","Marcos Bastos Pereira "
"CARACTERIZAÇÃO GEOAMBIENTAL DAS PRAIAS ATLÂNTICAS DO MUNICÍPIO DO RIO DE JANEIRO.","Em breve este conteúdo estará disponível.","Renata Cardia Rebouças "
"PLATAFORMA CONTINENTAL DO RIO DE JANEIRO: GEOLOGIA USOS MÚLTIPLOS RECURSOS NATURAIS.","Em breve este conteúdo estará disponível.","Renata Cardia Rebouças "
"MAPEAMENTO DE GEOHABITATS DA PLATAFORMA CONTINENTAL DO RIO DE JANEIRO","Em breve este conteúdo estará disponível.","Renata Cardia Rebouças "
"UM OLHAR SOBRE A OCEANOGRAFIA GEOLÓGICA PARA DENTRO DA FAOC E PARA A SOCIEDADE...","Em breve este conteúdo estará disponível.","Renata Cardia Rebouças "
